,AP689,AG083,AZ649,CA186,CA969,AP707
184,1038.8,1038.8,1039.175,1038.925,1039.125,1039.0
185,1038.875,1038.925,1038.8,1039.125,1039.05,1038.875
186,1038.925,1039.125,1038.925,1039.05,1038.875,1038.8
187,1038.875,1039.05,1039.125,1038.875,1039.0,1038.875
188,1038.75,1038.875,1039.05,1039.0,1038.875,1038.925
189,1038.625,1039.0,1038.875,1038.875,1038.8,1038.875
190,1038.75,1038.875,1039.0,1038.8,1038.875,1038.875
191,1038.925,1038.8,1038.875,1038.875,1038.925,1039.0
192,1038.875,1038.875,1038.8,1038.925,1038.875,1038.925
193,1038.925,1038.925,1038.875,1038.875,1038.875,1038.925
194,1039.0,1038.875,1038.925,1038.875,1039.0,1038.8
195,1039.0,1038.875,1038.875,1039.0,1038.925,1038.875
196,1039.05,1039.0,1038.875,1038.925,1038.925,1038.925
197,1039.125,1038.925,1039.0,1038.925,1038.8,1038.875
198,1039.3,1038.925,1038.925,1038.8,1038.875,1038.75
199,1039.175,1038.8,1038.925,1038.875,1038.925,1038.625
200,1039.05,1038.875,1038.8,1038.925,1038.875,1038.75
201,1039.05,1038.925,1038.875,1038.875,1038.75,1038.925
202,1039.125,1038.875,1038.925,1038.75,1038.625,1038.875
203,1039.125,1038.75,1038.875,1038.625,1038.75,1038.925
204,1039.5,1038.625,1038.75,1038.75,1038.925,1039.0
205,1039.5,1038.75,1038.625,1038.925,1038.875,1039.0
206,1039.3,1038.925,1038.75,1038.875,1038.925,1039.05
207,1039.425,1038.875,1038.925,1038.925,1039.0,1039.125
208,1039.375,1038.925,1038.875,1039.0,1039.0,1039.3
209,1039.25,1039.0,1038.925,1039.0,1039.05,1039.175
210,1039.55,1039.0,1039.0,1039.05,1039.125,1039.05
211,1039.5,1039.05,1039.0,1039.125,1039.3,1039.05
212,1039.55,1039.125,1039.05,1039.3,1039.175,1039.125
213,1039.375,1039.3,1039.125,1039.175,1039.05,1039.125
214,1039.25,1039.175,1039.3,1039.05,1039.05,1039.5
215,1039.125,1039.05,1039.175,1039.05,1039.125,1039.5
216,1039.125,1039.05,1039.05,1039.125,1039.125,1039.3
217,1039.3,1039.125,1039.05,1039.125,1039.5,1039.425
218,1039.25,1039.125,1039.125,1039.5,1039.5,1039.375
219,1039.0,1039.5,1039.125,1039.5,1039.3,1039.25
220,1039.3,1039.5,1039.5,1039.3,1039.425,1039.55
221,1039.5,1039.3,1039.5,1039.425,1039.375,1039.5
222,1039.5,1039.425,1039.3,1039.375,1039.25,1039.55
223,1039.425,1039.375,1039.425,1039.25,1039.55,1039.375
224,1039.5,1039.25,1039.375,1039.55,1039.5,1039.25
225,1039.55,1039.55,1039.25,1039.5,1039.55,1039.125
226,1039.75,1039.5,1039.55,1039.55,1039.375,1039.125
227,1039.675,1039.55,1039.5,1039.375,1039.25,1039.3
228,1039.875,1039.375,1039.55,1039.25,1039.125,1039.25
229,1039.875,1039.25,1039.375,1039.125,1039.125,1039.0
230,1039.75,1039.125,1039.25,1039.125,1039.3,1039.3
231,1039.8,1039.125,1039.125,1039.3,1039.25,1039.5
232,1039.75,1039.3,1039.125,1039.25,1039.0,1039.5
233,1039.925,1039.25,1039.3,1039.0,1039.3,1039.425
234,1039.925,1039.0,1039.25,1039.3,1039.5,1039.5
235,1039.925,1039.3,1039.0,1039.5,1039.5,1039.55
236,1040.05,1039.5,1039.3,1039.5,1039.425,1039.75
237,1040.25,1039.5,1039.5,1039.425,1039.5,1039.675
238,1040.175,1039.425,1039.5,1039.5,1039.55,1039.875
239,1040.3,1039.5,1039.425,1039.55,1039.75,1039.875
240,1040.3,1039.55,1039.5,1039.75,1039.675,1039.75
241,1040.25,1039.75,1039.55,1039.675,1039.875,1039.8
242,1040.125,1039.675,1039.75,1039.875,1039.875,1039.75
